province,date,ab_size_ha
AB,1998-05-04,11049.0790681
AB,1998-06-05,542.462758642
AB,1998-05-05,980.347989395
AB,1998-08-09,13742.3928969
AB,1998-05-24,9145.1100479
AB,1998-05-25,2351.53535218
AB,1998-05-24,12782.980682
AB,1998-06-24,14268.8764335
AB,1998-05-22,3460.19027207
AB,1998-05-14,325.645162736
AB,1998-05-21,52462.9350463
AB,1998-05-21,2001.04073131
AB,1998-05-26,8518.39011032
AB,1998-05-25,4880.39623829
AB,1998-08-09,18517.5051558
AB,1998-05-03,38577.2956348
AB,1998-05-24,151624.09499
AB,1998-08-06,17205.443029
AB,1998-05-03,148729.827983
AB,1998-05-03,93.2561727124
AB,1998-08-09,35100.6649217
AB,1998-08-07,27988.8191486
AB,1998-05-28,9356.44508569
AB,1998-08-10,4960.98002244
AB,1998-05-28,3302.87033382
AB,1998-05-03,328.433021322
AB,1998-06-11,4420.98642173
AB,1998-08-09,16009.8368132
AB,,1316.21213739
AB,1998-06-24,55.808033043
AB,,139.410280724
AB,1998-08-11,254.608470013
AB,,13.5359065464
AB,,1478.07344261
AB,,650.765235675
AB,,285.933791238
AB,,724.496457939
AB,,128.069288489
AB,,52.4603593286
AB,,508.816007753
AB,,425.657742966
AB,,28.5695754795
AB,,51.4852639695
AB,,315.367171868
AB,,4330.08684841
AB,,114.341257185
AB,,95.400144844
AB,,323.962117034
AB,,454.314338295
AB,,475.01225899
AB,,487.200194509
AB,,140.740523462
AB,,10.6987047889
AB,,81.1477403005
AB,1998-08-04,44.6566770563
AB,,30.5230804366
AB,,19.7059125743
AB,,12.0990072113
AB,,51.5677275259
AB,,50.6815607805
AB,1998-08-08,44.4350608279
AB,1998-07-02,634.445641699
AB,1998-08-09,224.175837907
AB,1998-05-29,91.8974307018
AB,1998-08-11,189.859828429
AB,1998-08-09,580.155320239
AB,,52.5658880934
AB,,72.8952034256
AB,,105.319314842
AB,,13.9098368304
AB,,36.3899485012
AB,,20.9004961703
AB,,51.4344678104
AB,,85.8828367292
AB,,27.229547758
AB,,18.4660605025
AB,,120.01932468
AB,,475.650297641
AB,,24.5023854753
AB,,17.6829467476
AB,,147.057725874
AB,,63.4524226599
AB,,276.468539714
AB,,105.682162091
AB,,38.1801791046
AB,,15.2837210783
AB,,146.244155294
AB,,65.1522975538
AB,,17.8724968961
AB,,29.4699970663
AB,,17.5378180783
AB,,35.1038558805
AB,,83.1503635082
AB,,39.5153502715
AB,,57.6381418315
AB,,25.0295046479
AB,,17.7381793204
AB,,57.1250030205
AB,,178.886809312
AB,1998-05-04,8.37574396796
AB,,5.13376610695
AB,,4.32344397509
AB,,205.117256399
AB,,9.54719269299
AB,,2.88225092927
AB,1998-05-19,76.5742450521
AB,,7.0236682957
AB,,94.4585227747
AB,,2.79217464736
