province,date,bc_size_ha
BC,1998-08-10,13.1535879374
BC,1998-08-06,175.820809938
BC,1998-07-03,8145.1962416
BC,1998-08-04,771.956208738
BC,1998-07-29,3525.65086384
BC,1998-07-03,11294.6831525
BC,1998-08-05,1245.16271566
BC,1998-07-29,6327.95901333
BC,1998-07-28,64.0119017861
BC,1998-05-03,176.776583033
BC,1998-09-26,23.2579582328
BC,1998-04-16,12.2763569679
BC,1998-10-21,33.9559542266
BC,1998-07-27,12.9969752199
BC,1998-06-09,213.864434792
BC,1998-07-03,13.5889371422
BC,1998-09-17,23.3913578049
BC,1998-06-04,58.2229782446
BC,1998-08-05,34.0734709687
BC,1998-09-09,31.560708404
BC,1998-07-22,104.04910492
BC,1998-09-17,12.7653179217
BC,1998-08-05,206.846502628
BC,1998-08-03,12.0325353388
BC,1998-08-03,32.1380007621
BC,1998-08-05,82.2852983512
BC,1998-07-03,31.0427336461
BC,1998-03-31,30.7996583493
BC,1998-08-01,31.7473159301
BC,1998-08-05,46.0083707991
BC,1998-04-30,16.5432199126
BC,1998-08-14,15.9433816927
BC,1998-07-13,541.982528227
BC,1998-08-03,62.7566306842
BC,1998-09-17,95.9177543972
BC,1998-08-06,28.6546270634
BC,1998-10-24,15.2483005007
BC,1998-08-03,52.1659956341
BC,1998-07-29,53.8117564784
BC,1998-08-08,12.855193404
BC,1998-08-05,164.769245694
BC,1998-05-19,10.7662930576
BC,1998-04-30,60.0087034021
BC,1998-08-06,21.9501089854
BC,1998-08-14,385.570017592
BC,1998-06-05,18.000581479
BC,1998-08-05,56.9774034278
BC,1998-09-11,12.2136291075
BC,1998-08-06,81.0335748623
BC,1998-04-15,64.6927270999
BC,1998-08-05,57.218396907
BC,1998-08-06,256.99788886
BC,1998-08-14,29.8533879896
BC,1998-04-30,41.3206119424
BC,1998-08-04,147.594941689
BC,1998-08-22,448.550065679
BC,1998-07-03,12314.4581944
BC,1998-07-29,164.695339796
BC,1998-08-05,1919.29747709
BC,1998-08-06,57.5825362914
BC,1998-07-31,1451.67190626
BC,1998-08-05,43.7251496687
BC,1998-06-28,25.9671064961
BC,1998-08-08,32.2466159309
BC,1998-07-30,254.797285314
BC,1998-04-19,109.489926389
BC,1998-08-20,7.92865137677
BC,1998-10-27,51.996735462
BC,1998-08-06,437.65653393
BC,1998-04-19,24.8482379694
BC,1998-08-22,95.6652938191
BC,1998-07-29,35.7851485327
