province,date,mb_size_ha
MB,1998-07-09,3295.13307701
MB,1998-06-28,10674.9549717
MB,1998-07-12,13060.0362274
MB,1998-06-29,14108.1845209
MB,1998-06-28,999.227745181
MB,,504.947554659
MB,1998-07-01,97855.0466712
MB,1998-07-05,6381.24018933
MB,1998-06-27,42013.1802446
MB,1998-08-18,3107.61404505
MB,1998-07-09,55416.5947244
MB,1998-07-07,14900.8008262
MB,1998-07-09,21775.9441251
MB,,46.8959197026
MB,1998-08-21,245.870883968
MB,1998-08-07,266.131586547
MB,,17.8950234437
MB,1998-07-09,1175.70936608
MB,1998-08-18,150.479029263
MB,1998-07-07,810.775837218
MB,1998-07-11,204.57311765
MB,1998-07-07,681.218138546
MB,1998-07-11,212.68383297
MB,,7.55189062037
MB,,1.94343883124
MB,,4.96308855089
MB,,9.04230152067
MB,,14.9853034696
MB,,32.244455241
MB,,9.18916288466
MB,,1.13145920628
MB,,19.2062208664
MB,,1.1063445672
MB,,1.65583360565
MB,,1.12462335483
MB,,1.1114110662
MB,,1.13760536082
MB,,1.131490103
MB,,1.9094679304
MB,,4.48307986286
MB,,1.65691472137
MB,,1.65112154491
MB,,1.13834644884
MB,,2.04729506741
MB,,1.98369122864
MB,,9.19517444357
MB,,7.83704377198
MB,1998-06-30,861.846482904
MB,,1.45833578133
MB,,20.079963915
MB,,7.50254666062
MB,,6.95862165483
MB,,1.12861755331
MB,,1.65466168056
MB,,1.90970931199
MB,,1.12073381147
MB,,1.90050261157
MB,,5.2507200357
MB,,1.90479754506
MB,,1.88557867469
MB,,1.65177972572
MB,,1.90720300386
MB,,1.90951625595
MB,,4.46743348752
MB,,1.90459556448
MB,,7.18650593621
MB,,9.18234999182
MB,,22.1122131179
MB,,12.4529232336
MB,,1.90676776785
MB,,22.6430160449
MB,,1.90884920735
MB,,1.89867830734
MB,,1.90537415726
MB,,9.83280216269
MB,,7.54800626355
MB,,1.6553715453
MB,,1.11806888035
MB,,2.74865968317
MB,,4.46726074237
MB,,1.13761851279
MB,,7.03004061688
MB,,27.9040660479
MB,,1.1386997956
MB,,15.6143952006
MB,,81.1681247317
MB,,94.3129770358
MB,,48.3497190661
MB,,12.2547256788
MB,,3.03343971871
MB,,27.361946898
MB,,17.484879983
MB,,200.078996285
MB,,19.0770239845
MB,,1.65293458956
MB,,1.10258522044
MB,,11.9277165031
MB,,7.52504091979
MB,,8.74279242543
MB,,5.46509740697
MB,,17.5092509333
MB,,4.08984224852
MB,,1.65074715319
MB,,7.52624963815
MB,,1.91657192961
MB,,504.756408248
MB,,12.2924383475
MB,,3.82219276185
MB,,9.87890691529
MB,,43.7987077765
MB,,22.8120030942
MB,,12.4270077844
MB,,69.4108856209
MB,,1.89165394932
MB,,7.53734073169
MB,,18.7235726089
MB,,17.4959374715
MB,,54.7358506551
MB,,2.58514891775
MB,,52.2948155226
MB,,4.04387848133
MB,,259.399675549
MB,,7.98912917249
MB,,21.7232480228
MB,,247.030261036
MB,,75.0386614357
MB,,26.9299930109
MB,,18.2065610168
MB,,14.7623069038
MB,1998-07-09,1241.87576486
MB,1998-04-22,102.481508791
MB,,5.40091537927
MB,,1.9085701551
MB,,10.9596303489
MB,,73.1155013215
MB,,162.110566815
MB,,272.308093811
MB,,29.5462571941
MB,,25.3759196594
MB,1998-07-05,1819.25124521
MB,,28.4084475644
MB,,38.5624244661
MB,1998-07-17,1652.63721189
MB,1998-07-17,3583.54520075
MB,1998-07-09,3497.94757908
MB,1998-07-10,12343.7281089
MB,1998-08-08,7545.69168562
MB,,1.90633491928
MB,1998-07-06,4575.83165249
MB,,94.1549283324
MB,,20.3400540346
MB,,21.3662148975
MB,,761.236516218
MB,,7.49508968803
MB,,16.550615907
MB,,13.2453434551
MB,,68.4175939906
MB,,230.988246135
MB,,346.295350519
MB,,611.438269044
MB,,146.697235968
MB,,3568.84127099
MB,,649.668386371
MB,,449.513517396
MB,,147.453164752
MB,,17.5163295187
MB,,28.0650361493
MB,,18.097743082
MB,1998-08-07,83.76229147
MB,,2.42978463563
MB,1998-07-06,18.3735437479
MB,1998-07-20,323.628556779
MB,1998-07-03,127.614008679
MB,1998-07-18,62.0590282543
MB,1998-07-08,15056.1794306
MB,1998-07-11,70.1810052228
MB,1998-07-08,431.77950719
MB,1998-07-08,529.537716756
MB,1998-07-10,20572.0008549
MB,1998-08-06,16478.6033087
MB,,61.1364312747
MB,1998-08-11,36987.7586826
MB,1998-08-11,1571.4323238
MB,,965.315564071
MB,1998-08-06,447.375146297
MB,1998-08-06,3891.28220129
MB,,69.2180905643
MB,1998-07-24,3611.45449504
MB,1998-08-08,475.779726267
MB,1998-07-10,3997.67486399
MB,1998-08-18,4193.37782229
MB,1998-08-07,5400.9674292
MB,1998-07-18,486.093781413
MB,1998-07-16,915.846184306
MB,1998-08-06,267.310291714
MB,,7.7455513034
MB,,28.8982476434
MB,,3.42256338347
MB,,58.1673520324
MB,1998-09-01,224.917259837
MB,,30.8818976856
MB,,11.0887198971
MB,,344.324947481
MB,1999-05-02,244.350800591
MB,1999-05-01,5078.05245926
MB,1999-07-24,1258.36777766
MB,1999-05-01,27213.8601244
MB,1999-08-27,618.158885326
MB,1999-05-02,119.370986168
MB,1999-06-18,1076.2712547
MB,1999-08-29,67.5058319203
MB,1999-06-20,2086.45353112
MB,1999-08-26,7974.48887341
MB,1999-05-11,28.8719453065
MB,,1.21269889066
MB,1999-06-19,99.8036030174
MB,1999-07-12,7158.79170066
MB,,6.93040759877
MB,1999-06-20,9215.71868141
MB,,8.25216541053
MB,,1.25542013667
MB,,1.25685967122
MB,,1.25482814797
MB,,2.5170877066
MB,,66.4678371185
MB,,1.21244320057
MB,,1.50408907116
MB,,38.213113573
MB,,3.94470777109
MB,,1.25580829979
MB,,1.25546463087
MB,,7.40520093619
MB,,3.32929430982
MB,,5.20244195955
MB,1999-05-02,80.2176705094
MB,,1.21491441381
MB,,3.87169188219
MB,,3.3264558496
MB,,19.0329935969
MB,,1.52367844174
MB,,1.02621926462
MB,,149.725058875
MB,,1.25639688344
MB,,3.14209212703
MB,,1.21497245085
MB,,12.9069136398
MB,,2.26455028938
MB,,20.7690289936
MB,1999-05-02,59.9597380941
MB,,100.421427169
MB,,8.74701975577
MB,,1.21268619617
MB,,1.2525026351
MB,,9.03196729939
MB,,2.25667473506
MB,,17.8208464177
MB,1999-05-03,673.976998731
MB,,114.073652658
MB,,2.51997919478
MB,1999-05-01,418.495112355
MB,,1.03585002225
MB,,1.25563114952
MB,,6.01081897287
MB,,3.95581958738
MB,,43.7743466455
MB,,3.14142402924
MB,,4.4765485325
MB,,4.47701850374
MB,,0.927110277246
MB,,1.25527393774
MB,,11.0004262212
MB,,37.2119108797
MB,,35.8245010185
MB,,3.44573033533
MB,,96.4055613639
MB,,25.5535425563
MB,,1.25297996172
MB,,3.95606518853
MB,,2.52065546329
MB,,23.9930525626
