date,ab_size_ha,bc_size_ha,mb_size_ha,nb_size_ha,nl_size_ha,ns_size_ha,nt_size_ha,nu_size_ha,on_size_ha,qc_size_ha,sk_size_ha,yt_size_ha
1998-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-29,0.0,8.36519750085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.07902751,0.0,0.0,0.0
1998-03-31,0.0,30.7996583493,0.0,0.0,0.0,0.0,0.0,0.0,256.702708362,0.0,0.0,0.0
1998-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44223242743,0.0,14.1642340394,0.0
1998-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.2011466519,0.0,0.0,0.0
1998-04-15,0.0,64.6927270999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-16,0.0,12.2763569679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-19,0.0,345.7684915244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64290272837,0.0
1998-04-20,0.0,94.4793188609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.951086036,0.0
1998-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2302.56486277978,0.0
1998-04-22,0.0,0.0,102.481508791,0.0,0.0,0.0,0.0,0.0,0.0,12.5733626609,738.1456660789,0.0
1998-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9655676355,0.0,0.0,0.0
1998-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6475828292,0.0
1998-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.640560198,0.0,0.0,0.0
1998-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9523830741,0.0
