province,year,size_ha
AB,1998.0,633821.1772737723
AB,1999.0,105838.13810153885
AB,2000.0,13994.381354498379
AB,2001.0,154969.57896128285
AB,2002.0,503130.4194128875
AB,2003.0,68032.01300660359
AB,2004.0,230088.62559119906
AB,2005.0,56432.62060075896
AB,2006.0,155643.2615111743
AB,2007.0,100975.54260004217
AB,2008.0,15880.22455922622
AB,2009.0,56942.17367064907
AB,2010.0,69190.87364542054
AB,2011.0,732531.0842445311
AB,2012.0,378713.04768042086
AB,2013.0,19981.029891622286
AB,2014.0,26302.367356926476
AB,2015.0,413833.4823597135
AB,2016.0,513878.297116651
AB,2017.0,47747.21901614378
AB,2018.0,47658.77998431891
AB,2019.0,711093.4302548764
AB,2020.0,3308.556689638006
AB,2021.0,54189.69130436718
AB,2022.0,119671.31739905171
BC,1998.0,74237.65540779998
BC,1999.0,13568.430201087798
BC,2000.0,5956.87533039012
BC,2001.0,6253.43049155346
BC,2002.0,4902.96943866931
BC,2003.0,221358.28427474797
BC,2004.0,181629.09431568097
BC,2005.0,26125.545492968933
BC,2006.0,115217.80051020706
BC,2007.0,23345.52685382328
BC,2008.0,11669.397089817778
BC,2009.0,209602.6003610996
BC,2010.0,291500.81616642996
BC,2011.0,12760.88136635719
BC,2012.0,84710.61615066198
BC,2013.0,16263.200849495426
BC,2014.0,325191.1379965736
BC,2015.0,235810.00778836122
BC,2016.0,79241.41871459184
BC,2017.0,1031869.2636508943
BC,2018.0,1049238.608899276
BC,2019.0,21539.846970777668
BC,2020.0,13873.8349064395
BC,2021.0,786461.0130245399
BC,2022.0,113099.1606990271
MB,1998.0,453251.80727315246
MB,1999.0,252415.81205698682
MB,2000.0,130697.82821946341
MB,2001.0,93968.61443568922
MB,2002.0,82595.37648653454
MB,2003.0,739806.3807382891
MB,2004.0,21383.92217941786
MB,2005.0,64666.665012918136
MB,2006.0,136845.77704079676
MB,2007.0,293263.53614309616
MB,2008.0,139540.35212946063
MB,2009.0,2853.794185456446
MB,2010.0,172801.10208433037
MB,2011.0,110962.0082573551
MB,2012.0,176784.10056992917
MB,2013.0,1071713.2245499531
MB,2014.0,36307.46367736399
MB,2015.0,66183.60050956295
MB,2016.0,35146.25507811831
MB,2017.0,218980.74655578646
MB,2018.0,217045.20727217133
MB,2019.0,71799.41764361315
MB,2020.0,43240.3166535109
MB,2021.0,1139826.633921906
MB,2022.0,135742.7651123883
NB,1999.0,37.746833832625
NB,2001.0,7.38166341574
NB,2002.0,6.0295681225
NB,2004.0,2.43064608664
NB,2005.0,376.2526520533539
NB,2007.0,5.39431458551
NB,2008.0,6.2123567878
NB,2010.0,11.6088652435
NB,2014.0,102.6438849045191
NB,2015.0,249.4764489466101
NB,2017.0,681.257283802
NB,2018.0,128.202311288
NL,1998.0,32538.345361093
NL,1999.0,38498.009655397356
NL,2000.0,104336.49799881711
NL,2001.0,562.3985291839999
NL,2002.0,14469.113999782101
NL,2003.0,31822.3448112572
NL,2004.0,923.824724247
NL,2005.0,20446.6612078978
NL,2006.0,2459.956059553
NL,2007.0,14000.220195303737
NL,2008.0,575.979044393
NL,2009.0,39269.06062703723
NL,2010.0,956.5492089100001
NL,2011.0,821.2667471701528
NL,2012.0,195524.57868555054
NL,2013.0,92952.28362986
NL,2014.0,24510.983076438002
NL,2015.0,4242.19163299
NL,2016.0,10522.3364579856
NL,2020.0,2721.0375319037003
NL,2022.0,20082.396871239
NS,1998.0,55.787459603980004
NS,1999.0,720.0348151805699
NS,2000.0,146.820998533
NS,2001.0,158.786198212
NS,2003.0,501.43007607535003
NS,2004.0,12.206264052669999
NS,2005.0,8.37492798799
NS,2006.0,21.333718707598
NS,2007.0,13.9229367164
NS,2008.0,1741.9653257254
NS,2009.0,642.260219409
NS,2013.0,266.0367985942435
NS,2014.0,531.817274327291
NS,2015.0,474.8272347849067
NS,2016.0,742.71178775049
NS,2017.0,759.1638997578287
NS,2018.0,224.88001428938
NS,2020.0,624.5895481684398
NS,2021.0,167.4677614969
NS,2022.0,2746.9909930738
NT,1998.0,1268690.0075547758
NT,1999.0,439224.953882946
NT,2000.0,157930.8460803575
NT,2001.0,89540.22580961687
NT,2002.0,41284.474520328054
NT,2003.0,104882.13066451266
NT,2004.0,385711.5024775103
NT,2005.0,178259.93112890085
NT,2006.0,43161.7670629349
NT,2007.0,307107.42447615543
NT,2008.0,311725.8020271084
NT,2009.0,1416.151608305736
NT,2010.0,253723.7742199112
NT,2011.0,211844.11864820172
NT,2012.0,194380.06188357854
NT,2013.0,460911.8195286469
NT,2014.0,2845779.116579653
NT,2015.0,526624.0323503449
NT,2016.0,213975.97871964838
NT,2017.0,815272.1483414071
NT,2018.0,14171.31078069837
NT,2019.0,110155.8561348582
NT,2020.0,18145.825433893388
NT,2021.0,154430.5660049722
NT,2022.0,579870.0606390559
NU,2000.0,768.153009304
NU,2003.0,671.738795928
NU,2004.0,364.165176916
NU,2006.0,322.315454221
NU,2008.0,4340.242790298
NU,2010.0,8703.912724377
NU,2011.0,456.0453323
NU,2014.0,2747.7285608
NU,2015.0,36.6861773108
NU,2019.0,2292.57010602
NU,2020.0,47.3773845333
NU,2021.0,246.983828362
ON,1998.0,212493.12044471825
ON,1999.0,297140.19571065716
ON,2000.0,17760.93425043258
ON,2001.0,12361.816111156128
ON,2002.0,196615.55903309936
ON,2003.0,335148.4310606855
ON,2004.0,2432.6832333960797
ON,2005.0,48262.65243183802
ON,2006.0,124625.42624956364
ON,2007.0,36016.24707216617
ON,2008.0,1214.24752279954
ON,2009.0,18452.9920957135
ON,2010.0,16181.22861623451
ON,2011.0,457859.1841123715
ON,2012.0,112404.52021861628
ON,2013.0,42418.82924926705
ON,2014.0,13927.8173400053
ON,2015.0,41614.7008941397
ON,2016.0,79676.23356948391
ON,2017.0,103296.972907292
ON,2018.0,234286.22933403545
ON,2019.0,259806.9056406834
ON,2020.0,14196.1920728223
ON,2021.0,689123.2513925896
ON,2022.0,3367.1652540124
PC-BA,1998.0,990.3850975949631
PC-BA,1999.0,3065.6767496429625
PC-BA,2000.0,1018.7655637980599
PC-BA,2001.0,3572.5671577427997
PC-BA,2002.0,185.13983290117983
PC-BA,2003.0,5537.790949798981
PC-BA,2004.0,1.5017448796092998
PC-BA,2005.0,1720.0962195592467
PC-BA,2006.0,1608.075254516466
PC-BA,2007.0,402.15141883623
PC-BA,2008.0,946.4330367647485
PC-BA,2009.0,2265.1688868148776
PC-BA,2010.0,2.3480389958639
PC-BA,2011.0,844.8891031206985
PC-BA,2012.0,0.77967798135789
PC-BA,2013.0,112.90093071941429
PC-BA,2014.0,4423.1617294803955
PC-BA,2015.0,1224.9829186606999
PC-BA,2020.0,473.385207801
PC-BA,2021.0,0.2984366124321
PC-BA,2022.0,4880.4659905684
PC-EI,1998.0,976.9389620449999
PC-EI,1999.0,9.11696003964
PC-EI,2000.0,1818.7262443517
PC-EI,2001.0,48.3713838906
PC-EI,2002.0,17.32795441349
PC-EI,2003.0,3.46556862475
PC-EI,2004.0,2174.6803412
PC-EI,2005.0,3.46558029374
PC-EI,2006.0,3.46558057292
PC-EI,2012.0,3.46556977644
PC-EI,2015.0,3.46561410119
PC-EI,2022.0,112.10139183179999
PC-GL,1998.0,76.500665456646
PC-GL,1999.0,1.1723028221507
PC-GL,2000.0,0.21122782181900002
PC-GL,2001.0,157.416733919943
PC-GL,2002.0,0.316837228164
PC-GL,2003.0,853.4862812353
PC-GL,2004.0,11.184843372043
PC-GL,2006.0,7.012578109610001
PC-GL,2007.0,0.0105611706
PC-GL,2008.0,162.397237442
PC-GL,2009.0,51.9116382323
PC-GL,2012.0,85.985126945
PC-GL,2013.0,81.51944281530001
PC-GL,2014.0,0.2112292565
PC-GL,2017.0,4155.0059537834
PC-GL,2018.0,2277.379149652
PC-GL,2021.0,24.3484965662
PC-GL,2022.0,317.0852792079
PC-GR,2006.0,824.7145647140001
PC-GR,2013.0,3744.7091146
PC-JA,1998.0,131.294431786481
PC-JA,1999.0,222.84295256148718
PC-JA,2000.0,946.3352065734275
PC-JA,2001.0,131.35205376531627
PC-JA,2002.0,2.108606453363
PC-JA,2003.0,21097.83611408819
PC-JA,2004.0,5.2681302686743
PC-JA,2005.0,16.089088840000002
PC-JA,2006.0,1238.8908367343802
PC-JA,2007.0,99.20298630549921
PC-JA,2008.0,294.2415454464814
PC-JA,2009.0,1297.2607638360405
PC-JA,2010.0,10.12202114753509
PC-JA,2011.0,162.75041036612998
PC-JA,2012.0,0.2190299500723
PC-JA,2013.0,43.36168431420622
PC-JA,2014.0,40.11239910384012
PC-JA,2015.0,1343.5882219633568
PC-JA,2021.0,48.01025828976853
PC-JA,2022.0,6882.1871844175
PC-KO,1998.0,28.2624564544571
PC-KO,1999.0,21.001680389043
PC-KO,2000.0,16.9419044897167
PC-KO,2001.0,3314.96562424275
PC-KO,2002.0,8.901320895603
PC-KO,2003.0,13742.937254233248
PC-KO,2004.0,0.6969100070953
PC-KO,2005.0,0.1991209314147
PC-KO,2006.0,178.9548457649883
PC-KO,2007.0,225.7141241372038
PC-KO,2008.0,1842.1503455594311
PC-KO,2009.0,0.70778304294284
PC-KO,2010.0,12.099771887657301
PC-KO,2011.0,7.28103338052
PC-KO,2012.0,874.4460926581335
PC-KO,2013.0,525.183768589986
