city,date,mean_pm25
Charlottetown,2003-01-01,
Charlottetown,2003-01-02,
Charlottetown,2003-01-03,
Charlottetown,2003-01-04,
Charlottetown,2003-01-05,
Charlottetown,2003-01-06,
Charlottetown,2003-01-07,
Charlottetown,2003-01-08,
Charlottetown,2003-01-09,
Charlottetown,2003-01-10,
Charlottetown,2003-01-11,
Charlottetown,2003-01-12,
Charlottetown,2003-01-13,
Charlottetown,2003-01-14,
Charlottetown,2003-01-15,
Charlottetown,2003-01-16,
Charlottetown,2003-01-17,
Charlottetown,2003-01-18,
Charlottetown,2003-01-19,
Charlottetown,2003-01-20,
Charlottetown,2003-01-21,
Charlottetown,2003-01-22,
Charlottetown,2003-01-23,
Charlottetown,2003-01-24,
Charlottetown,2003-01-25,
Charlottetown,2003-01-26,
Charlottetown,2003-01-27,
Charlottetown,2003-01-28,
Charlottetown,2003-01-29,
Charlottetown,2003-01-30,
Charlottetown,2003-01-31,
Charlottetown,2003-02-01,
Charlottetown,2003-02-02,
Charlottetown,2003-02-03,
Charlottetown,2003-02-04,
Charlottetown,2003-02-05,
Charlottetown,2003-02-06,
Charlottetown,2003-02-07,
Charlottetown,2003-02-08,
Charlottetown,2003-02-09,
Charlottetown,2003-02-10,
Charlottetown,2003-02-11,
Charlottetown,2003-02-12,
Charlottetown,2003-02-13,
Charlottetown,2003-02-14,
Charlottetown,2003-02-15,
Charlottetown,2003-02-16,
Charlottetown,2003-02-17,
Charlottetown,2003-02-18,
Charlottetown,2003-02-19,
Charlottetown,2003-02-20,
Charlottetown,2003-02-21,
Charlottetown,2003-02-22,
Charlottetown,2003-02-23,
Charlottetown,2003-02-24,
Charlottetown,2003-02-25,
Charlottetown,2003-02-26,
Charlottetown,2003-02-27,
Charlottetown,2003-02-28,
Charlottetown,2003-03-01,
Charlottetown,2003-03-02,
Charlottetown,2003-03-03,
Charlottetown,2003-03-04,
Charlottetown,2003-03-05,
Charlottetown,2003-03-06,
Charlottetown,2003-03-07,
Charlottetown,2003-03-08,
Charlottetown,2003-03-09,
Charlottetown,2003-03-10,
Charlottetown,2003-03-11,
Charlottetown,2003-03-12,
Charlottetown,2003-03-13,
Charlottetown,2003-03-14,
Charlottetown,2003-03-15,
Charlottetown,2003-03-16,
Charlottetown,2003-03-17,
Charlottetown,2003-03-18,
Charlottetown,2003-03-19,
Charlottetown,2003-03-20,
Charlottetown,2003-03-21,
Charlottetown,2003-03-22,
Charlottetown,2003-03-23,
Charlottetown,2003-03-24,
Charlottetown,2003-03-25,
Charlottetown,2003-03-26,
Charlottetown,2003-03-27,
Charlottetown,2003-03-28,
Charlottetown,2003-03-29,
Charlottetown,2003-03-30,
Charlottetown,2003-03-31,
Charlottetown,2003-04-01,
Charlottetown,2003-04-02,
Charlottetown,2003-04-03,
Charlottetown,2003-04-04,
Charlottetown,2003-04-05,
Charlottetown,2003-04-06,
Charlottetown,2003-04-07,
Charlottetown,2003-04-08,
Charlottetown,2003-04-09,
Charlottetown,2003-04-10,
Charlottetown,2003-04-11,
Charlottetown,2003-04-12,
Charlottetown,2003-04-13,
Charlottetown,2003-04-14,
Charlottetown,2003-04-15,
Charlottetown,2003-04-16,3.7142857142857144
Charlottetown,2003-04-17,3.75
Charlottetown,2003-04-18,7.5
Charlottetown,2003-04-19,13.75
Charlottetown,2003-04-20,15.416666666666666
Charlottetown,2003-04-21,5.791666666666667
Charlottetown,2003-04-22,7.041666666666667
Charlottetown,2003-04-23,0.3333333333333333
Charlottetown,2003-04-24,1.5833333333333333
Charlottetown,2003-04-25,3.8333333333333335
Charlottetown,2003-04-26,6.208333333333333
Charlottetown,2003-04-27,7.041666666666667
Charlottetown,2003-04-28,16.625
Charlottetown,2003-04-29,4.25
Charlottetown,2003-04-30,4.75
Charlottetown,2003-05-01,6.916666666666667
Charlottetown,2003-05-02,7.625
Charlottetown,2003-05-03,2.375
Charlottetown,2003-05-04,6.125
Charlottetown,2003-05-05,7.75
Charlottetown,2003-05-06,4.958333333333333
