city,date,mean_pm25
Halifax,2001-01-01,
Halifax,2001-01-02,
Halifax,2001-01-03,
Halifax,2001-01-04,
Halifax,2001-01-05,
Halifax,2001-01-06,
Halifax,2001-01-07,
Halifax,2001-01-08,
Halifax,2001-01-09,
Halifax,2001-01-10,
Halifax,2001-01-11,
Halifax,2001-01-12,
Halifax,2001-01-13,
Halifax,2001-01-14,
Halifax,2001-01-15,
Halifax,2001-01-16,
Halifax,2001-01-17,
Halifax,2001-01-18,
Halifax,2001-01-19,
Halifax,2001-01-20,
Halifax,2001-01-21,
Halifax,2001-01-22,
Halifax,2001-01-23,
Halifax,2001-01-24,
Halifax,2001-01-25,
Halifax,2001-01-26,
Halifax,2001-01-27,
Halifax,2001-01-28,
Halifax,2001-01-29,
Halifax,2001-01-30,
Halifax,2001-01-31,
Halifax,2001-02-01,
Halifax,2001-02-02,
Halifax,2001-02-03,
Halifax,2001-02-04,
Halifax,2001-02-05,
Halifax,2001-02-06,
Halifax,2001-02-07,
Halifax,2001-02-08,
Halifax,2001-02-09,
Halifax,2001-02-10,
Halifax,2001-02-11,
Halifax,2001-02-12,
Halifax,2001-02-13,
Halifax,2001-02-14,
Halifax,2001-02-15,
Halifax,2001-02-16,
Halifax,2001-02-17,
Halifax,2001-02-18,
Halifax,2001-02-19,
Halifax,2001-02-20,
Halifax,2001-02-21,
Halifax,2001-02-22,
Halifax,2001-02-23,
Halifax,2001-02-24,
Halifax,2001-02-25,
Halifax,2001-02-26,
Halifax,2001-02-27,
Halifax,2001-02-28,
Halifax,2001-03-01,
Halifax,2001-03-02,
Halifax,2001-03-03,
Halifax,2001-03-04,
Halifax,2001-03-05,
Halifax,2001-03-06,
Halifax,2001-03-07,
Halifax,2001-03-08,
Halifax,2001-03-09,
Halifax,2001-03-10,
Halifax,2001-03-11,
Halifax,2001-03-12,
Halifax,2001-03-13,
Halifax,2001-03-14,
Halifax,2001-03-15,
Halifax,2001-03-16,
Halifax,2001-03-17,
Halifax,2001-03-18,
Halifax,2001-03-19,
Halifax,2001-03-20,
Halifax,2001-03-21,
Halifax,2001-03-22,
Halifax,2001-03-23,
Halifax,2001-03-24,
Halifax,2001-03-25,
Halifax,2001-03-26,
Halifax,2001-03-27,
Halifax,2001-03-28,
Halifax,2001-03-29,
Halifax,2001-03-30,
Halifax,2001-03-31,
Halifax,2001-04-01,
Halifax,2001-04-02,
Halifax,2001-04-03,
Halifax,2001-04-04,
Halifax,2001-04-05,
Halifax,2001-04-06,
Halifax,2001-04-07,
Halifax,2001-04-08,
Halifax,2001-04-09,
Halifax,2001-04-10,
Halifax,2001-04-11,
Halifax,2001-04-12,
Halifax,2001-04-13,
Halifax,2001-04-14,
Halifax,2001-04-15,
Halifax,2001-04-16,
Halifax,2001-04-17,
Halifax,2001-04-18,
Halifax,2001-04-19,
Halifax,2001-04-20,
Halifax,2001-04-21,
Halifax,2001-04-22,
Halifax,2001-04-23,
Halifax,2001-04-24,
Halifax,2001-04-25,
Halifax,2001-04-26,
Halifax,2001-04-27,
Halifax,2001-04-28,
Halifax,2001-04-29,
Halifax,2001-04-30,
Halifax,2001-05-01,
Halifax,2001-05-02,
Halifax,2001-05-03,
Halifax,2001-05-04,
Halifax,2001-05-05,
Halifax,2001-05-06,
Halifax,2001-05-07,
Halifax,2001-05-08,
Halifax,2001-05-09,
Halifax,2001-05-10,
Halifax,2001-05-11,
Halifax,2001-05-12,
Halifax,2001-05-13,
Halifax,2001-05-14,
Halifax,2001-05-15,
Halifax,2001-05-16,
Halifax,2001-05-17,
Halifax,2001-05-18,
Halifax,2001-05-19,
Halifax,2001-05-20,
Halifax,2001-05-21,
Halifax,2001-05-22,
Halifax,2001-05-23,
Halifax,2001-05-24,
Halifax,2001-05-25,
Halifax,2001-05-26,
Halifax,2001-05-27,
Halifax,2001-05-28,
Halifax,2001-05-29,
Halifax,2001-05-30,
Halifax,2001-05-31,
Halifax,2001-06-01,
Halifax,2001-06-02,
Halifax,2001-06-03,
Halifax,2001-06-04,
Halifax,2001-06-05,
Halifax,2001-06-06,
Halifax,2001-06-07,
Halifax,2001-06-08,
Halifax,2001-06-09,
Halifax,2001-06-10,
Halifax,2001-06-11,
Halifax,2001-06-12,
Halifax,2001-06-13,
Halifax,2001-06-14,
Halifax,2001-06-15,
Halifax,2001-06-16,
Halifax,2001-06-17,
Halifax,2001-06-18,7.714285714285714
Halifax,2001-06-19,6.25
Halifax,2001-06-20,19.375
Halifax,2001-06-21,7.75
Halifax,2001-06-22,5.333333333333333
Halifax,2001-06-23,4.958333333333333
Halifax,2001-06-24,5.916666666666667
Halifax,2001-06-25,5.041666666666667
Halifax,2001-06-26,9.416666666666666
Halifax,2001-06-27,9.958333333333334
Halifax,2001-06-28,5.583333333333333
Halifax,2001-06-29,1.9166666666666667
Halifax,2001-06-30,13.916666666666666
Halifax,2001-07-01,29.25
Halifax,2001-07-02,5.166666666666667
Halifax,2001-07-03,3.4583333333333335
Halifax,2001-07-04,4.166666666666667
Halifax,2001-07-05,4.625
Halifax,2001-07-06,6.5
Halifax,2001-07-07,4.041666666666667
Halifax,2001-07-08,4.875
Halifax,2001-07-09,5.541666666666667
Halifax,2001-07-10,2.1666666666666665
Halifax,2001-07-11,4.176470588235294
Halifax,2001-07-12,
Halifax,2001-07-13,4.5
Halifax,2001-07-14,7.125
Halifax,2001-07-15,7.916666666666667
Halifax,2001-07-16,6.666666666666667
Halifax,2001-07-17,7.166666666666667
Halifax,2001-07-18,3.0416666666666665
Halifax,2001-07-19,3.3333333333333335
Halifax,2001-07-20,4.166666666666667
Halifax,2001-07-21,8.916666666666666
Halifax,2001-07-22,9.875
Halifax,2001-07-23,12.75
Halifax,2001-07-24,16.208333333333332
Halifax,2001-07-25,9.916666666666666
Halifax,2001-07-26,3.9583333333333335
Halifax,2001-07-27,1.9583333333333333
Halifax,2001-07-28,3.375
Halifax,2001-07-29,4.458333333333333
Halifax,2001-07-30,6.041666666666667
Halifax,2001-07-31,5.25
Halifax,2001-08-01,6.041666666666667
Halifax,2001-08-02,9.625
Halifax,2001-08-03,26.833333333333332
Halifax,2001-08-04,12.958333333333334
Halifax,2001-08-05,6.458333333333333
Halifax,2001-08-06,8.041666666666666
Halifax,2001-08-07,14.041666666666666
Halifax,2001-08-08,5.208333333333333
Halifax,2001-08-09,20.541666666666668
Halifax,2001-08-10,35.166666666666664
Halifax,2001-08-11,6.75
Halifax,2001-08-12,7.083333333333333
Halifax,2001-08-13,5.291666666666667
Halifax,2001-08-14,6.791666666666667
Halifax,2001-08-15,6.916666666666667
Halifax,2001-08-16,3.5416666666666665
Halifax,2001-08-17,6.625
Halifax,2001-08-18,10.083333333333334
Halifax,2001-08-19,8.916666666666666
Halifax,2001-08-20,8.041666666666666
Halifax,2001-08-21,4.375
Halifax,2001-08-22,11.041666666666666
Halifax,2001-08-23,16.25
Halifax,2001-08-24,6.125
Halifax,2001-08-25,1.875
Halifax,2001-08-26,3.625
Halifax,2001-08-27,5.0
Halifax,2001-08-28,12.333333333333334
Halifax,2001-08-29,6.333333333333333
Halifax,2001-08-30,3.7083333333333335
Halifax,2001-08-31,5.458333333333333
Halifax,2001-09-01,5.5
Halifax,2001-09-02,1.125
Halifax,2001-09-03,3.7083333333333335
Halifax,2001-09-04,3.4166666666666665
Halifax,2001-09-05,2.0833333333333335
Halifax,2001-09-06,1.5833333333333333
Halifax,2001-09-07,5.166666666666667
Halifax,2001-09-08,7.416666666666667
Halifax,2001-09-09,13.875
Halifax,2001-09-10,4.916666666666667
Halifax,2001-09-11,5.15
Halifax,2001-09-12,2.25
Halifax,2001-09-13,3.0
Halifax,2001-09-14,2.7916666666666665
Halifax,2001-09-15,2.2083333333333335
Halifax,2001-09-16,3.1666666666666665
Halifax,2001-09-17,6.166666666666667
Halifax,2001-09-18,6.125
Halifax,2001-09-19,2.9166666666666665
Halifax,2001-09-20,3.25
Halifax,2001-09-21,4.416666666666667
Halifax,2001-09-22,4.416666666666667
Halifax,2001-09-23,5.958333333333333
Halifax,2001-09-24,8.416666666666666
Halifax,2001-09-25,4.416666666666667
Halifax,2001-09-26,0.7083333333333334
Halifax,2001-09-27,4.833333333333333
Halifax,2001-09-28,1.75
Halifax,2001-09-29,2.5833333333333335
Halifax,2001-09-30,2.4166666666666665
Halifax,2001-10-01,1.9583333333333333
Halifax,2001-10-02,5.75
Halifax,2001-10-03,7.916666666666667
Halifax,2001-10-04,23.541666666666668
Halifax,2001-10-05,26.25
Halifax,2001-10-06,14.583333333333334
Halifax,2001-10-07,1.5833333333333333
Halifax,2001-10-08,2.125
Halifax,2001-10-09,2.2083333333333335
Halifax,2001-10-10,5.875
Halifax,2001-10-11,10.375
Halifax,2001-10-12,10.166666666666666
Halifax,2001-10-13,6.75
Halifax,2001-10-14,4.416666666666667
Halifax,2001-10-15,2.1666666666666665
Halifax,2001-10-16,4.708333333333333
Halifax,2001-10-17,2.875
Halifax,2001-10-18,3.0
Halifax,2001-10-19,4.583333333333333
Halifax,2001-10-20,6.416666666666667
Halifax,2001-10-21,9.041666666666666
Halifax,2001-10-22,10.166666666666666
Halifax,2001-10-23,3.473684210526316
Halifax,2001-10-24,5.666666666666667
Halifax,2001-10-25,3.5416666666666665
Halifax,2001-10-26,4.875
Halifax,2001-10-27,6.583333333333333
Halifax,2001-10-28,3.2916666666666665
Halifax,2001-10-29,2.2916666666666665
Halifax,2001-10-30,3.7916666666666665
Halifax,2001-10-31,2.4583333333333335
Halifax,2001-11-01,3.4583333333333335
Halifax,2001-11-02,7.166666666666667
Halifax,2001-11-03,7.75
Halifax,2001-11-04,8.0
Halifax,2001-11-05,6.958333333333333
Halifax,2001-11-06,3.5833333333333335
Halifax,2001-11-07,1.5416666666666667
Halifax,2001-11-08,3.4166666666666665
Halifax,2001-11-09,3.4166666666666665
Halifax,2001-11-10,2.7083333333333335
