city,date,mean_pm25
Iqaluit,2013-01-01,
Iqaluit,2013-01-02,
Iqaluit,2013-01-03,
Iqaluit,2013-01-04,
Iqaluit,2013-01-05,
Iqaluit,2013-01-06,
Iqaluit,2013-01-07,
Iqaluit,2013-01-08,
Iqaluit,2013-01-09,
Iqaluit,2013-01-10,
Iqaluit,2013-01-11,
Iqaluit,2013-01-12,
Iqaluit,2013-01-13,
Iqaluit,2013-01-14,
Iqaluit,2013-01-15,
Iqaluit,2013-01-16,
Iqaluit,2013-01-17,
Iqaluit,2013-01-18,
Iqaluit,2013-01-19,
Iqaluit,2013-01-20,
Iqaluit,2013-01-21,
Iqaluit,2013-01-22,
Iqaluit,2013-01-23,
Iqaluit,2013-01-24,
Iqaluit,2013-01-25,
Iqaluit,2013-01-26,
Iqaluit,2013-01-27,
Iqaluit,2013-01-28,
Iqaluit,2013-01-29,
Iqaluit,2013-01-30,
Iqaluit,2013-01-31,
Iqaluit,2013-02-01,
Iqaluit,2013-02-02,
Iqaluit,2013-02-03,
Iqaluit,2013-02-04,
Iqaluit,2013-02-05,
Iqaluit,2013-02-06,
Iqaluit,2013-02-07,
Iqaluit,2013-02-08,
Iqaluit,2013-02-09,
Iqaluit,2013-02-10,
Iqaluit,2013-02-11,
Iqaluit,2013-02-12,
Iqaluit,2013-02-13,
Iqaluit,2013-02-14,
Iqaluit,2013-02-15,
Iqaluit,2013-02-16,
Iqaluit,2013-02-17,
Iqaluit,2013-02-18,
Iqaluit,2013-02-19,
Iqaluit,2013-02-20,
Iqaluit,2013-02-21,
Iqaluit,2013-02-22,
Iqaluit,2013-02-23,
Iqaluit,2013-02-24,
Iqaluit,2013-02-25,
Iqaluit,2013-02-26,
Iqaluit,2013-02-27,
Iqaluit,2013-02-28,
Iqaluit,2013-03-01,
Iqaluit,2013-03-02,
Iqaluit,2013-03-03,
Iqaluit,2013-03-04,
Iqaluit,2013-03-05,
Iqaluit,2013-03-06,
Iqaluit,2013-03-07,
Iqaluit,2013-03-08,
Iqaluit,2013-03-09,
Iqaluit,2013-03-10,
Iqaluit,2013-03-11,
Iqaluit,2013-03-12,
Iqaluit,2013-03-13,
Iqaluit,2013-03-14,
Iqaluit,2013-03-15,
Iqaluit,2013-03-16,
Iqaluit,2013-03-17,
Iqaluit,2013-03-18,
Iqaluit,2013-03-19,
Iqaluit,2013-03-20,
Iqaluit,2013-03-21,
Iqaluit,2013-03-22,
Iqaluit,2013-03-23,
Iqaluit,2013-03-24,
Iqaluit,2013-03-25,
Iqaluit,2013-03-26,
Iqaluit,2013-03-27,
Iqaluit,2013-03-28,
Iqaluit,2013-03-29,
Iqaluit,2013-03-30,
Iqaluit,2013-03-31,
Iqaluit,2013-04-01,
Iqaluit,2013-04-02,
Iqaluit,2013-04-03,
Iqaluit,2013-04-04,
Iqaluit,2013-04-05,
Iqaluit,2013-04-06,
Iqaluit,2013-04-07,
Iqaluit,2013-04-08,
Iqaluit,2013-04-09,
Iqaluit,2013-04-10,
Iqaluit,2013-04-11,
Iqaluit,2013-04-12,
Iqaluit,2013-04-13,
Iqaluit,2013-04-14,
Iqaluit,2013-04-15,
Iqaluit,2013-04-16,
Iqaluit,2013-04-17,
Iqaluit,2013-04-18,
Iqaluit,2013-04-19,
Iqaluit,2013-04-20,
Iqaluit,2013-04-21,
Iqaluit,2013-04-22,
Iqaluit,2013-04-23,
Iqaluit,2013-04-24,
Iqaluit,2013-04-25,
Iqaluit,2013-04-26,
Iqaluit,2013-04-27,
Iqaluit,2013-04-28,
Iqaluit,2013-04-29,
Iqaluit,2013-04-30,
Iqaluit,2013-05-01,
Iqaluit,2013-05-02,
Iqaluit,2013-05-03,
Iqaluit,2013-05-04,
Iqaluit,2013-05-05,
Iqaluit,2013-05-06,
Iqaluit,2013-05-07,
Iqaluit,2013-05-08,
Iqaluit,2013-05-09,
Iqaluit,2013-05-10,
Iqaluit,2013-05-11,
Iqaluit,2013-05-12,
Iqaluit,2013-05-13,
Iqaluit,2013-05-14,
Iqaluit,2013-05-15,
Iqaluit,2013-05-16,
Iqaluit,2013-05-17,
Iqaluit,2013-05-18,
Iqaluit,2013-05-19,
Iqaluit,2013-05-20,
Iqaluit,2013-05-21,
Iqaluit,2013-05-22,
Iqaluit,2013-05-23,
Iqaluit,2013-05-24,
Iqaluit,2013-05-25,
Iqaluit,2013-05-26,
Iqaluit,2013-05-27,
Iqaluit,2013-05-28,
Iqaluit,2013-05-29,
Iqaluit,2013-05-30,
Iqaluit,2013-05-31,
Iqaluit,2013-06-01,
Iqaluit,2013-06-02,
Iqaluit,2013-06-03,
Iqaluit,2013-06-04,
Iqaluit,2013-06-05,
Iqaluit,2013-06-06,
Iqaluit,2013-06-07,
Iqaluit,2013-06-08,
Iqaluit,2013-06-09,
Iqaluit,2013-06-10,
Iqaluit,2013-06-11,
Iqaluit,2013-06-12,
Iqaluit,2013-06-13,
Iqaluit,2013-06-14,
Iqaluit,2013-06-15,
Iqaluit,2013-06-16,
Iqaluit,2013-06-17,
Iqaluit,2013-06-18,
Iqaluit,2013-06-19,
Iqaluit,2013-06-20,
Iqaluit,2013-06-21,
Iqaluit,2013-06-22,
Iqaluit,2013-06-23,
Iqaluit,2013-06-24,
Iqaluit,2013-06-25,
Iqaluit,2013-06-26,
Iqaluit,2013-06-27,
Iqaluit,2013-06-28,
Iqaluit,2013-06-29,
Iqaluit,2013-06-30,
Iqaluit,2013-07-01,
Iqaluit,2013-07-02,
Iqaluit,2013-07-03,
Iqaluit,2013-07-04,
Iqaluit,2013-07-05,
Iqaluit,2013-07-06,
Iqaluit,2013-07-07,
Iqaluit,2013-07-08,
Iqaluit,2013-07-09,
Iqaluit,2013-07-10,
Iqaluit,2013-07-11,
Iqaluit,2013-07-12,
Iqaluit,2013-07-13,
Iqaluit,2013-07-14,
Iqaluit,2013-07-15,
Iqaluit,2013-07-16,
Iqaluit,2013-07-17,
Iqaluit,2013-07-18,
Iqaluit,2013-07-19,
Iqaluit,2013-07-20,
Iqaluit,2013-07-21,
Iqaluit,2013-07-22,
Iqaluit,2013-07-23,
Iqaluit,2013-07-24,
Iqaluit,2013-07-25,
Iqaluit,2013-07-26,
Iqaluit,2013-07-27,
Iqaluit,2013-07-28,
Iqaluit,2013-07-29,
Iqaluit,2013-07-30,
Iqaluit,2013-07-31,
Iqaluit,2013-08-01,
Iqaluit,2013-08-02,
Iqaluit,2013-08-03,
Iqaluit,2013-08-04,
Iqaluit,2013-08-05,
Iqaluit,2013-08-06,
Iqaluit,2013-08-07,
Iqaluit,2013-08-08,
Iqaluit,2013-08-09,
Iqaluit,2013-08-10,
Iqaluit,2013-08-11,
Iqaluit,2013-08-12,
Iqaluit,2013-08-13,
Iqaluit,2013-08-14,
Iqaluit,2013-08-15,
Iqaluit,2013-08-16,
Iqaluit,2013-08-17,
Iqaluit,2013-08-18,
Iqaluit,2013-08-19,
Iqaluit,2013-08-20,
Iqaluit,2013-08-21,
Iqaluit,2013-08-22,
Iqaluit,2013-08-23,
Iqaluit,2013-08-24,
Iqaluit,2013-08-25,
Iqaluit,2013-08-26,
Iqaluit,2013-08-27,
Iqaluit,2013-08-28,
Iqaluit,2013-08-29,
Iqaluit,2013-08-30,
Iqaluit,2013-08-31,
Iqaluit,2013-09-01,
Iqaluit,2013-09-02,
Iqaluit,2013-09-03,
Iqaluit,2013-09-04,
Iqaluit,2013-09-05,
Iqaluit,2013-09-06,
Iqaluit,2013-09-07,
Iqaluit,2013-09-08,
Iqaluit,2013-09-09,
Iqaluit,2013-09-10,
Iqaluit,2013-09-11,
Iqaluit,2013-09-12,
Iqaluit,2013-09-13,
Iqaluit,2013-09-14,
Iqaluit,2013-09-15,
Iqaluit,2013-09-16,
Iqaluit,2013-09-17,
Iqaluit,2013-09-18,
Iqaluit,2013-09-19,
Iqaluit,2013-09-20,
Iqaluit,2013-09-21,
Iqaluit,2013-09-22,
Iqaluit,2013-09-23,
Iqaluit,2013-09-24,
Iqaluit,2013-09-25,
Iqaluit,2013-09-26,
Iqaluit,2013-09-27,
Iqaluit,2013-09-28,
Iqaluit,2013-09-29,
Iqaluit,2013-09-30,
Iqaluit,2013-10-01,
Iqaluit,2013-10-02,
Iqaluit,2013-10-03,
Iqaluit,2013-10-04,
Iqaluit,2013-10-05,
Iqaluit,2013-10-06,
Iqaluit,2013-10-07,
Iqaluit,2013-10-08,
Iqaluit,2013-10-09,
Iqaluit,2013-10-10,
Iqaluit,2013-10-11,
Iqaluit,2013-10-12,
Iqaluit,2013-10-13,
Iqaluit,2013-10-14,
Iqaluit,2013-10-15,
Iqaluit,2013-10-16,
Iqaluit,2013-10-17,
Iqaluit,2013-10-18,
Iqaluit,2013-10-19,
Iqaluit,2013-10-20,
Iqaluit,2013-10-21,
Iqaluit,2013-10-22,
Iqaluit,2013-10-23,
Iqaluit,2013-10-24,
Iqaluit,2013-10-25,
Iqaluit,2013-10-26,
Iqaluit,2013-10-27,
Iqaluit,2013-10-28,
Iqaluit,2013-10-29,
Iqaluit,2013-10-30,
Iqaluit,2013-10-31,
Iqaluit,2013-11-01,
Iqaluit,2013-11-02,
Iqaluit,2013-11-03,
Iqaluit,2013-11-04,
Iqaluit,2013-11-05,
Iqaluit,2013-11-06,
Iqaluit,2013-11-07,
Iqaluit,2013-11-08,
Iqaluit,2013-11-09,
Iqaluit,2013-11-10,
Iqaluit,2013-11-11,
Iqaluit,2013-11-12,
Iqaluit,2013-11-13,
Iqaluit,2013-11-14,
Iqaluit,2013-11-15,
Iqaluit,2013-11-16,
Iqaluit,2013-11-17,
Iqaluit,2013-11-18,
Iqaluit,2013-11-19,
Iqaluit,2013-11-20,
Iqaluit,2013-11-21,
Iqaluit,2013-11-22,
Iqaluit,2013-11-23,
Iqaluit,2013-11-24,
Iqaluit,2013-11-25,
Iqaluit,2013-11-26,
Iqaluit,2013-11-27,
Iqaluit,2013-11-28,
Iqaluit,2013-11-29,
Iqaluit,2013-11-30,
Iqaluit,2013-12-01,
Iqaluit,2013-12-02,
Iqaluit,2013-12-03,
Iqaluit,2013-12-04,
Iqaluit,2013-12-05,
Iqaluit,2013-12-06,
Iqaluit,2013-12-07,
Iqaluit,2013-12-08,
Iqaluit,2013-12-09,
Iqaluit,2013-12-10,
Iqaluit,2013-12-11,
Iqaluit,2013-12-12,
Iqaluit,2013-12-13,
Iqaluit,2013-12-14,
Iqaluit,2013-12-15,
Iqaluit,2013-12-16,
Iqaluit,2013-12-17,
Iqaluit,2013-12-18,
Iqaluit,2013-12-19,
Iqaluit,2013-12-20,
Iqaluit,2013-12-21,
Iqaluit,2013-12-22,
Iqaluit,2013-12-23,
Iqaluit,2013-12-24,
Iqaluit,2013-12-25,
Iqaluit,2013-12-26,
Iqaluit,2013-12-27,
Iqaluit,2013-12-28,
Iqaluit,2013-12-29,
Iqaluit,2013-12-30,
Iqaluit,2013-12-31,1.0
Iqaluit,2014-01-01,3.5
Iqaluit,2014-01-02,2.875
Iqaluit,2014-01-03,3.2916666666666665
Iqaluit,2014-01-04,2.875
Iqaluit,2014-01-05,1.7083333333333333
Iqaluit,2014-01-06,9.291666666666666
Iqaluit,2014-01-07,47.9375
Iqaluit,2014-01-08,13.368421052631579
Iqaluit,2014-01-09,5.083333333333333
Iqaluit,2014-01-10,4.833333333333333
Iqaluit,2014-01-11,4.833333333333333
Iqaluit,2014-01-12,2.0833333333333335
Iqaluit,2014-01-13,2.2916666666666665
Iqaluit,2014-01-14,3.0833333333333335
Iqaluit,2014-01-15,2.1666666666666665
Iqaluit,2014-01-16,3.625
Iqaluit,2014-01-17,6.75
Iqaluit,2014-01-18,5.958333333333333
Iqaluit,2014-01-19,8.25
Iqaluit,2014-01-20,9.25
Iqaluit,2014-01-21,3.0
Iqaluit,2014-01-22,2.75
Iqaluit,2014-01-23,2.6956521739130435
Iqaluit,2014-01-24,10.956521739130435
Iqaluit,2014-01-25,5.416666666666667
Iqaluit,2014-01-26,3.608695652173913
Iqaluit,2014-01-27,17.083333333333332
Iqaluit,2014-01-28,12.25
Iqaluit,2014-01-29,9.75
Iqaluit,2014-01-30,10.458333333333334
Iqaluit,2014-01-31,7.458333333333333
Iqaluit,2014-02-01,10.791666666666666
Iqaluit,2014-02-02,12.5
Iqaluit,2014-02-03,7.0588235294117645
Iqaluit,2014-02-04,13.785714285714286
Iqaluit,2014-02-05,4.75
Iqaluit,2014-02-06,7.875
Iqaluit,2014-02-07,5.583333333333333
Iqaluit,2014-02-08,9.125
Iqaluit,2014-02-09,12.5
Iqaluit,2014-02-10,7.583333333333333
Iqaluit,2014-02-11,10.846153846153847
Iqaluit,2014-02-12,13.68421052631579
Iqaluit,2014-02-13,10.045454545454545
Iqaluit,2014-02-14,7.75
Iqaluit,2014-02-15,13.65
Iqaluit,2014-02-16,12.571428571428571
Iqaluit,2014-02-17,9.3
Iqaluit,2014-02-18,8.916666666666666
Iqaluit,2014-02-19,15.727272727272727
Iqaluit,2014-02-20,6.4
Iqaluit,2014-02-21,8.619047619047619
Iqaluit,2014-02-22,6.705882352941177
Iqaluit,2014-02-23,
Iqaluit,2014-02-24,
Iqaluit,2014-02-25,
Iqaluit,2014-02-26,
Iqaluit,2014-02-27,
Iqaluit,2014-02-28,
Iqaluit,2014-03-01,
Iqaluit,2014-03-02,
Iqaluit,2014-03-03,
Iqaluit,2014-03-04,
Iqaluit,2014-03-05,
Iqaluit,2014-03-06,31.75
Iqaluit,2014-03-07,11.529411764705882
Iqaluit,2014-03-08,11.458333333333334
Iqaluit,2014-03-09,9.277777777777779
Iqaluit,2014-03-10,6.9
Iqaluit,2014-03-11,8.375
Iqaluit,2014-03-12,7.8
